일시,평균기온(℃),최고기온(℃),최저기온(℃)
2020-02-13,8.4,11.5,6
2020-02-14,11.3,19.8,4.6
2020-02-15,10.8,18.5,6.9
2020-02-16,1.3,7.7,-1.2
2020-02-17,-2,0.3,-3.7
2020-02-18,0.5,4.7,-3.2
2020-02-19,3.7,11,-2.9
2020-02-20,7.6,14.3,1.2
2020-02-21,9.3,17,1.8
2020-02-22,7.2,11.4,3.3
2020-02-23,5,11.2,0.6
2020-02-24,8.3,16.3,0.1
2020-02-25,12.4,14.6,9.7
2020-02-26,8.8,14.9,3.7
2021-02-01,8.3,10.3,4.1
2021-02-02,-1,4.1,-2.9
2021-02-03,0.3,5.5,-4.8
2021-02-04,1.6,5.6,-1.4
2021-02-05,2.8,8.4,-3
2021-02-06,5.7,11,-0.2
2021-02-07,7.4,14.3,2.5
2021-02-08,0.3,3.9,-1.7
2021-02-09,1.7,8.6,-3.6
2021-02-10,4,11.7,-2.8
2021-02-11,6.4,11.6,1
2021-02-12,9.3,17,3.8
2021-02-13,10.6,19.6,1.8
2021-02-14,10.9,16.5,6.3
2021-02-15,3.9,9,0.2
2021-02-16,0.4,7,-3.1
2021-02-17,-4.5,-1.5,-5.8
2021-02-18,-2.2,0.8,-5.4
2021-02-19,3.8,11,-2.7
2021-02-20,10.6,17.6,4.7
2021-02-21,13,22.6,5.2
2021-02-22,10.5,19,3
2021-02-23,3.6,9.3,-0.9
2021-02-24,3.9,7.9,-0.6
2021-02-25,4.7,6,2.5
2021-02-26,9.7,15.5,5
